"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"3","For Rent - House","168000","7","2.5","1","2","Nearby Baluwatar, 7BHK House for rent","Baluwatar-4, Kathmandu-4, Kathmandu","27.730609893798828","85.33106231689453"
"Land - Individual",,,"For Sale - Land","8500000",,,,,"Land on sale at Jhamshikhel,Bhanimandal","Location","27.71691131591797","85.33124542236328"
"Bunglow",,"4","For Rent - House","150000","5","2","1","1","Bungalow For Rent!!
 📍Budhanilkantha ,Kathmandu"," Budhanilkantha, Kathmandu ","27.765399932861328","85.36530303955078"
"House In a Colony",,"3","For Rent - House","72000","4","2","1","1","House  For Rent 
📍Swayambhu,Kathmandu"," Swoyambhu, Kathmandu ","27.71489906311035","85.29029846191406"
"Land - Individual",,,"For Rent - Land","65000",,,,,"Land on rent at Maharajgaunj Ring road","Location","27.78868293762207","85.36949920654297"
"Apartment Building",,"4","For Rent - Flat & Apartment","95000","4","2",,"1","Duplex 4BHK Flat For Rent!!"," Dillibazar, Kathmandu ","27.705400466918945","85.32669830322266"
"Bunglow",,"4","For Rent - House","220000","6","2","4","4","Bungalow For Rent 
📍Baluwatar,Kathmandu"," Baluwatar, Kathmandu ","27.725500106811523","85.32980346679688"
"HouseIndividual",,"1","For Rent - Flat & Apartment","27000","2","2",,"1","2bhk flat in mandikhatar","Mandikhatar Hight","27.737998962402344","85.34815216064453"
"Bunglow",,"5","For Rent - House","150000","5","2","1","1","Bungalow For Rent 
📍Bansbari,Kathmandu"," Bansbari, Kathmandu ","27.742799758911133","85.34329986572266"
"HouseSemiCommercial",,"1","For Rent - Office Space","75000",,"2",,,"Bishalnagar (Baluwatar), Office Space for Rent ","Bishalnagar, Tamakoshi marga, Bishalnagar, Kathmandu-4, Kathmandu","27.72298240661621","85.33368682861328"
"Bunglow",,"3","For Rent - House","168000","7","2","1","1","Bungalow For Rent 
📍Baluwatar ,Kathmandu"," Baluwatar, Kathmandu ","27.725500106811523","85.32980346679688"
"Land - Individual",,,"For Sale - Land","1600000",,,,,"3.5 AANA LAND ON SALE AT CHAPAGAUN","Location","0","0"
"Land - Individual",,,"For Sale - Land","1100000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT BISTACHAP","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","1550000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","1900000",,,,,"LAND ON SALE AT BISTACHAP","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","3200000",,,,,"LAND ON SALE AT GODAMCHAUR","Location","27.73215103149414","85.32123565673828"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"LandPlotted",,,"For Sale - Land","3300000",,,,,"Harisiddi cancer hospital pachhadi","अताखवा थन्सी मार्ग, Lalitpur-28, Lalitpur,  Bagmati Pradesh","27.640626907348633","85.34215545654297"
"HouseIndividual",,"1","For Rent - Flat & Apartment","28000","2","3",,"1","1 Flat rent on baluwatar ","Baluwatar Cricket Club, Kathmandu-2, Kathmandu","27.721439361572266","85.32778930664062"
