order_id,product_name,category,price,quantity,order_date
1,Phone,Electronics,606.33,3,2023-01-19
2,Tablet,Electronics,1120.43,4,2023-08-28
3,Printer,Accessories,470.71,1,2023-09-10
4,Phone,Electronics,962.94,3,2023-02-16
5,Tablet,Electronics,615.3,4,2023-01-21
6,Monitor,Electronics,1240.54,3,2023-10-04
7,Monitor,Electronics,645.46,2,2023-12-24
8,Printer,Accessories,1421.92,3,2023-06-15
9,Speaker,Accessories,728.79,5,2023-06-26
10,Speaker,Accessories,751.86,5,2023-11-27
11,Printer,Accessories,992.72,1,2023-09-24
12,Mouse,Accessories,888.75,4,2023-08-22
13,Laptop,Electronics,358.88,1,2023-12-27
14,Monitor,Electronics,1006.12,2,2023-11-10
15,Camera,Electronics,265.42,1,2023-06-28
16,Monitor,Electronics,1170.53,1,2023-07-22
17,Printer,Accessories,897.96,1,2023-05-15
18,Mouse,Accessories,779.88,2,2023-04-05
19,Printer,Accessories,1442.51,3,2023-05-10
20,Tablet,Electronics,705.52,5,2023-03-04
21,Printer,Accessories,173.67,3,2023-12-07
22,Camera,Electronics,1471.94,3,2023-09-06
23,Mouse,Accessories,196.13,4,2023-03-20
24,Keyboard,Accessories,171.53,2,2023-07-04
25,Printer,Accessories,906.44,4,2023-12-22
26,Tablet,Electronics,1304.97,5,2023-07-01
27,Keyboard,Accessories,527.61,5,2023-11-04
28,Speaker,Accessories,797.57,4,2023-09-17
29,Mouse,Accessories,1486.14,3,2023-01-24
30,Keyboard,Accessories,721.75,3,2023-06-12
31,Mouse,Accessories,521.83,1,2023-03-30
32,Laptop,Electronics,628.49,1,2023-04-13
33,Speaker,Accessories,1316.13,2,2023-02-12
34,Printer,Accessories,493.14,3,2023-02-13
35,Monitor,Electronics,846.6,2,2023-07-22
36,Laptop,Electronics,84.2,4,2023-04-02
37,Phone,Electronics,1190.79,1,2023-03-05
38,Headphones,Accessories,1291.85,3,2023-05-31
39,Printer,Accessories,1473.13,5,2023-06-23
40,Laptop,Electronics,1335.73,4,2023-11-19
41,Tablet,Electronics,437.81,2,2023-04-03
42,Mouse,Accessories,185.83,5,2023-02-19
43,Printer,Accessories,1431.47,4,2023-06-14
44,Monitor,Electronics,619.03,5,2023-02-28
45,Tablet,Electronics,242.81,1,2023-03-29
46,Speaker,Accessories,844.29,4,2023-12-26
47,Speaker,Accessories,98.21,3,2023-11-06
48,Tablet,Electronics,571.66,5,2023-02-01
49,Keyboard,Accessories,870.1,5,2023-10-18
50,Keyboard,Accessories,835.61,3,2023-10-17
51,Speaker,Accessories,1269.69,4,2023-02-28
52,Laptop,Electronics,1439.56,2,2023-02-24
53,Keyboard,Accessories,565.64,1,2023-12-13
54,Phone,Electronics,540.16,4,2023-03-08
55,Printer,Accessories,1086.62,4,2023-05-30
56,Speaker,Accessories,762.26,3,2023-12-10
57,Speaker,Accessories,349.72,4,2023-04-05
58,Tablet,Electronics,1312.35,4,2023-12-28
59,Speaker,Accessories,1461.14,1,2023-01-13
60,Laptop,Electronics,642.59,1,2023-05-05
61,Laptop,Electronics,499.87,3,2023-08-07
62,Keyboard,Accessories,219.04,5,2023-12-11
63,Phone,Electronics,512.45,1,2023-03-09
64,Camera,Electronics,1085.54,2,2023-07-19
65,Headphones,Accessories,915.09,3,2023-09-04
66,Phone,Electronics,409.07,1,2023-06-21
67,Mouse,Accessories,184.95,4,2023-03-10
68,Camera,Electronics,248.33,2,2023-10-21
69,Speaker,Accessories,863.73,3,2023-04-01
70,Mouse,Accessories,1408.79,4,2023-12-12
71,Mouse,Accessories,1095.78,3,2023-08-10
72,Printer,Accessories,1393.16,2,2023-03-29
73,Camera,Electronics,1094.72,5,2023-09-20
74,Keyboard,Accessories,1258.91,3,2023-02-12
75,Keyboard,Accessories,251.74,2,2023-11-01
76,Phone,Electronics,1204.75,5,2023-12-26
77,Laptop,Electronics,689.31,4,2023-12-29
78,Laptop,Electronics,298.51,5,2023-06-14
79,Speaker,Accessories,73.55,5,2023-02-13
80,Printer,Accessories,1362.75,2,2023-04-27
81,Camera,Electronics,769.85,3,2023-07-13
82,Speaker,Accessories,1296.58,1,2023-11-15
83,Monitor,Electronics,923.17,1,2023-04-05
84,Laptop,Electronics,964.05,3,2023-01-22
85,Keyboard,Accessories,359.66,2,2023-06-13
86,Mouse,Accessories,508.58,1,2023-07-24
87,Camera,Electronics,1477.89,4,2023-08-17
88,Speaker,Accessories,425.48,3,2023-03-17
89,Keyboard,Accessories,173.93,5,2023-08-01
90,Tablet,Electronics,766.28,5,2023-07-29
91,Tablet,Electronics,1185.65,1,2023-11-03
92,Phone,Electronics,1193.31,2,2023-01-02
93,Printer,Accessories,633.48,1,2023-04-14
94,Phone,Electronics,145.99,2,2023-05-02
95,Headphones,Accessories,642.51,2,2023-09-19
96,Laptop,Electronics,1365.44,1,2023-08-21
97,Monitor,Electronics,182.76,5,2023-07-03
98,Monitor,Electronics,1299.61,1,2023-05-15
99,Laptop,Electronics,380.1,3,2023-12-12
100,Keyboard,Accessories,824.7,4,2023-01-26
