order_id,product_name,category,price,quantity,order_date,total_amount,price_normalized,month,year
1,Phone,Electronics,606.33,3,2023-01-19,1818.9900000000002,0.37716534875653945,1,2023
2,Tablet,Electronics,1120.43,4,2023-08-28,4481.72,0.7411067613391005,8,2023
3,Printer,Accessories,470.71,1,2023-09-10,470.71,0.28115730679107165,9,2023
4,Phone,Electronics,962.94,3,2023-02-16,2888.82,0.6296165200093445,2,2023
5,Tablet,Electronics,615.3,4,2023-01-21,2461.2,0.3835153866302324,1,2023
6,Monitor,Electronics,1240.54,3,2023-10-04,3721.62,0.826134971930992,10,2023
7,Monitor,Electronics,645.46,2,2023-12-24,1290.92,0.40486623861134513,12,2023
8,Printer,Accessories,1421.92,3,2023-06-15,4265.76,0.9545374100057341,6,2023
9,Speaker,Accessories,728.79,5,2023-06-26,3643.95,0.4638571701626091,6,2023
10,Speaker,Accessories,751.86,5,2023-11-27,3759.3,0.48018887292137136,11,2023
11,Printer,Accessories,992.72,1,2023-09-24,992.72,0.6506983625822071,9,2023
12,Mouse,Accessories,888.75,4,2023-08-22,3555.0,0.5770959726459907,8,2023
13,Laptop,Electronics,358.88,1,2023-12-27,358.88,0.20199066962105067,12,2023
14,Monitor,Electronics,1006.12,2,2023-11-10,2012.24,0.6601844838204999,11,2023
15,Camera,Electronics,265.42,1,2023-06-28,265.42,0.1358285135814355,6,2023
16,Monitor,Electronics,1170.53,1,2023-07-22,1170.53,0.7765735280583891,7,2023
17,Printer,Accessories,897.96,1,2023-05-15,897.96,0.5836159111985785,5,2023
18,Mouse,Accessories,779.88,2,2023-04-05,1559.76,0.5000247771823388,4,2023
19,Printer,Accessories,1442.51,3,2023-05-10,4327.53,0.9691134724159168,5,2023
20,Tablet,Electronics,705.52,5,2023-03-04,3527.6,0.4473838835047678,3,2023
21,Printer,Accessories,173.67,3,2023-12-07,521.01,0.07087689987894576,12,2023
22,Camera,Electronics,1471.94,3,2023-09-06,4415.82,0.9899475431653912,9,2023
23,Mouse,Accessories,196.13,4,2023-03-20,784.52,0.0867767717455171,3,2023
24,Keyboard,Accessories,171.53,2,2023-07-04,343.06,0.06936195215880049,7,2023
25,Printer,Accessories,906.44,4,2023-12-22,3625.76,0.589619068519528,12,2023
26,Tablet,Electronics,1304.97,5,2023-07-01,6524.85,0.8717462250192908,7,2023
27,Keyboard,Accessories,527.61,5,2023-11-04,2638.05,0.32143792607904625,11,2023
28,Speaker,Accessories,797.57,4,2023-09-17,3190.28,0.5125478730558761,9,2023
29,Mouse,Accessories,1486.14,3,2023-01-24,4458.42,1.0,1,2023
30,Keyboard,Accessories,721.75,3,2023-06-12,2165.25,0.4588734169150284,6,2023
31,Mouse,Accessories,521.83,1,2023-03-30,521.83,0.3173461513956633,3,2023
32,Laptop,Electronics,628.49,1,2023-04-13,628.49,0.3928528447744922,4,2023
33,Speaker,Accessories,1316.13,2,2023-02-12,2632.26,0.8796466065878988,2,2023
34,Printer,Accessories,493.14,3,2023-02-13,1479.42,0.29703594107278114,2,2023
35,Monitor,Electronics,846.6,2,2023-07-22,1693.2,0.5472571659150921,7,2023
36,Laptop,Electronics,84.2,4,2023-04-02,336.8,0.007539342625956579,4,2023
37,Phone,Electronics,1190.79,1,2023-03-05,1190.79,0.7909159770350915,3,2023
38,Headphones,Accessories,1291.85,3,2023-05-31,3875.5499999999997,0.8624583212397084,5,2023
39,Printer,Accessories,1473.13,5,2023-06-23,7365.650000000001,0.9907899673649113,6,2023
40,Laptop,Electronics,1335.73,4,2023-11-19,5342.92,0.8935218286976404,11,2023
41,Tablet,Electronics,437.81,2,2023-04-03,875.62,0.2578667553925767,4,2023
42,Mouse,Accessories,185.83,5,2023-02-19,929.1500000000001,0.07948520094294877,2,2023
43,Printer,Accessories,1431.47,4,2023-06-14,5725.88,0.9612980411867562,6,2023
44,Monitor,Electronics,619.03,5,2023-02-28,3095.1499999999996,0.3861559263480557,2,2023
45,Tablet,Electronics,242.81,1,2023-03-29,242.81,0.11982245379055492,3,2023
46,Speaker,Accessories,844.29,4,2023-12-26,3377.16,0.5456218718807296,12,2023
47,Speaker,Accessories,98.21,3,2023-11-06,294.63,0.017457294756440294,11,2023
48,Tablet,Electronics,571.66,5,2023-02-01,2858.2999999999997,0.35262177985119525,2,2023
49,Keyboard,Accessories,870.1,5,2023-10-18,4350.5,0.5638932740568743,10,2023
50,Keyboard,Accessories,835.61,3,2023-10-17,2506.83,0.5394771306607012,10,2023
51,Speaker,Accessories,1269.69,4,2023-02-28,5078.76,0.8467708252217557,2,2023
52,Laptop,Electronics,1439.56,2,2023-02-24,2879.12,0.9670251099045015,2,2023
53,Keyboard,Accessories,565.64,1,2023-12-13,565.64,0.34836010448891747,12,2023
54,Phone,Electronics,540.16,4,2023-03-08,2160.64,0.33032231574625326,3,2023
55,Printer,Accessories,1086.62,4,2023-05-30,4346.48,0.717172003199796,5,2023
56,Speaker,Accessories,762.26,3,2023-12-10,2286.7799999999997,0.4875512356734792,12,2023
57,Speaker,Accessories,349.72,4,2023-04-05,1398.88,0.19550612704323264,4,2023
58,Tablet,Electronics,1312.35,4,2023-12-28,5249.4,0.8769706708953057,12,2023
59,Speaker,Accessories,1461.14,1,2023-01-13,1461.14,0.9823020126151254,1,2023
60,Laptop,Electronics,642.59,1,2023-05-05,642.59,0.4028345096595615,5,2023
61,Laptop,Electronics,499.87,3,2023-08-07,1499.6100000000001,0.3018002392767894,8,2023
62,Keyboard,Accessories,219.04,5,2023-12-11,1095.2,0.10299520738501618,12,2023
63,Phone,Electronics,512.45,1,2023-03-09,512.45,0.31070586652885834,3,2023
64,Camera,Electronics,1085.54,2,2023-07-19,2171.08,0.7164074501447695,7,2023
65,Headphones,Accessories,915.09,3,2023-09-04,2745.27,0.5957425721546946,9,2023
66,Phone,Electronics,409.07,1,2023-06-21,409.07,0.2375211490949249,6,2023
67,Mouse,Accessories,184.95,4,2023-03-10,739.8,0.07886223178700116,3,2023
68,Camera,Electronics,248.33,2,2023-10-21,496.66,0.12373016940513526,10,2023
69,Speaker,Accessories,863.73,3,2023-04-01,2591.19,0.5593838268712082,4,2023
70,Mouse,Accessories,1408.79,4,2023-12-12,5635.16,0.9452424270311979,12,2023
71,Mouse,Accessories,1095.78,3,2023-08-10,3287.34,0.7236565457776141,8,2023
72,Printer,Accessories,1393.16,2,2023-03-29,2786.32,0.9341776453181744,3,2023
73,Camera,Electronics,1094.72,5,2023-09-20,5473.6,0.7229061511124955,9,2023
74,Keyboard,Accessories,1258.91,3,2023-02-12,3776.7300000000005,0.8391394530613978,2,2023
75,Keyboard,Accessories,251.74,2,2023-11-01,503.48,0.12614417488443214,11,2023
76,Phone,Electronics,1204.75,5,2023-12-26,6023.75,0.8007985331908055,12,2023
77,Laptop,Electronics,689.31,4,2023-12-29,2757.24,0.4359085084844151,12,2023
78,Laptop,Electronics,298.51,5,2023-06-14,1492.55,0.1592535696840555,6,2023
79,Speaker,Accessories,73.55,5,2023-02-13,367.75,0.0,2,2023
80,Printer,Accessories,1362.75,2,2023-04-27,2725.5,0.9126498134632129,4,2023
81,Camera,Electronics,769.85,3,2023-07-13,2309.55,0.49292434464352713,7,2023
82,Speaker,Accessories,1296.58,1,2023-11-15,1296.58,0.8658067804529268,11,2023
83,Monitor,Electronics,923.17,1,2023-04-05,923.17,0.601462561677486,4,2023
84,Laptop,Electronics,964.05,3,2023-01-22,2892.1499999999996,0.6304023106492329,1,2023
85,Keyboard,Accessories,359.66,2,2023-06-13,719.32,0.20254284682745877,6,2023
86,Mouse,Accessories,508.58,1,2023-07-24,508.58,0.3079662180816797,7,2023
87,Camera,Electronics,1477.89,4,2023-08-17,5911.56,0.9941596641629914,8,2023
88,Speaker,Accessories,425.48,3,2023-03-17,1276.44,0.2491381080143566,3,2023
89,Keyboard,Accessories,173.93,5,2023-08-01,869.6500000000001,0.07106095894774846,8,2023
90,Tablet,Electronics,766.28,5,2023-07-29,3831.3999999999996,0.490397072044967,7,2023
91,Tablet,Electronics,1185.65,1,2023-11-03,1185.65,0.7872772708287614,11,2023
92,Phone,Electronics,1193.31,2,2023-01-02,2386.62,0.7926999341634868,1,2023
93,Printer,Accessories,633.48,1,2023-04-14,633.48,0.39638536305651323,4,2023
94,Phone,Electronics,145.99,2,2023-05-02,291.98,0.05128168824641262,5,2023
95,Headphones,Accessories,642.51,2,2023-09-19,1285.02,0.4027778760999299,9,2023
96,Laptop,Electronics,1365.44,1,2023-08-21,1365.44,0.9145541169058254,8,2023
97,Monitor,Electronics,182.76,5,2023-07-03,913.8,0.07731188809208615,7,2023
98,Monitor,Electronics,1299.61,1,2023-05-15,1299.61,0.8679517765239736,5,2023
99,Laptop,Electronics,380.1,3,2023-12-12,1140.3000000000002,0.21701272131333224,12,2023
100,Keyboard,Accessories,824.7,4,2023-01-26,3298.8,0.531753728965942,1,2023
