Study_hours_per_week,Sleep_hours_per_day,Attendance_percentage,Assignments_completed,Final_grade,participation_level_Low,participation_level_Medium,internet_access_Yes,parental_education_High School,parental_education_Master's,parental_education_PhD,Extra-Classes,part_time_job_Yes
0.527230137,0.68523551,0.993244587,0.222222222,71.10489737,0,1,1,0,0,0,1,0
0.421400394,0.881883328,0.883477936,0.555555556,62.24002057,0,1,1,0,0,0,0,0
0.552392534,0.220286485,0.683469161,1,65.26885547,0,1,1,0,0,0,1,0
0.698282754,0.612593847,0.520094492,0.222222222,66.60992125,1,0,1,0,0,0,1,0
0.405418882,0.369871486,0.831126621,0.333333333,58.96748428,0,1,1,1,0,0,1,0
0.405421618,0.402574923,0.760664163,0.555555556,63.18345282,0,0,0,0,0,1,1,1
0.70764658,0.381521215,0.87667062,0.888888889,68.47804776,0,1,1,0,1,0,0,1
0.572350233,0.327201846,0.816547653,0.222222222,61.12408911,0,1,1,0,0,0,1,0
0.366198713,0.509704326,0.912362106,0.333333333,59.59878026,0,0,1,1,0,0,0,0
0.534871118,0.333809977,0.545922478,0.444444444,72.14665345,0,0,1,0,0,0,0,0
0.367208162,0.554091365,0.974293222,0.777777778,66.58014084,0,1,1,1,0,0,1,0
0.366822819,0.489952378,0.715370839,0.444444444,56.50582503,1,0,1,1,0,0,1,0
0.48477149,0.452210391,1,0.555555556,68.69369245,0,0,1,0,0,0,0,1
0.125564404,0.318487268,0.510325074,0.666666667,59.68224432,0,0,1,0,0,0,1,1
0.156958139,0.384645734,1,0.444444444,63.46567994,0,0,1,0,0,0,0,0
0.350729856,0.651078245,0.715442791,0.444444444,69.15014515,0,0,1,1,0,0,1,0
0.275639258,0.600183438,0.519058329,0.555555556,58.89919582,0,1,1,0,0,0,1,0
0.496819,0.304488951,0.557795642,0.888888889,61.90227643,0,1,1,1,0,0,1,1
0.293107099,0.519866461,0.595609532,1,68.15218306,1,0,1,0,0,1,1,0
0.209060494,0.650277425,0.767758219,0.555555556,58.71830051,0,1,1,0,0,0,0,0
0.688719239,0.166118944,0.790572899,0.888888889,67.12402211,0,1,0,0,1,0,1,1
0.406815061,0.608672038,0.537028528,0.222222222,57.38317055,0,1,0,0,0,0,0,0
0.455699145,0.367475248,0.664049895,0.777777778,67.24944207,0,1,1,1,0,0,1,0
0.206986413,0.614119734,1,0.666666667,66.21534875,0,0,1,0,0,1,1,0
0.35371399,0.347348169,1,0.666666667,66.32628342,0,1,1,0,0,0,1,0
0.462931543,0.13902358,0.770569365,0.444444444,56.96587647,0,1,1,0,0,0,1,1
0.252612182,0.174491512,0.678468523,0.666666667,56.35426721,1,0,1,0,0,0,1,0
0.507060781,0.509616989,0.697435259,1,66.5038764,0,1,0,1,0,0,1,1
0.344337996,0.5519445,0.811540787,0.444444444,69.19972026,0,0,0,0,1,0,0,0
0.395828819,0.319136675,0.433187939,0.777777778,66.72596654,0,1,1,0,0,0,1,0
0.344160009,0.627718492,0.610169831,0.444444444,69.95017296,0,0,1,0,0,0,1,0
0.753157475,0.167695988,0.283866004,0.111111111,63.11799632,0,1,1,1,0,0,0,0
0.442194907,0.48678404,0.761990861,0.666666667,65.00027514,0,1,1,1,0,0,0,0
0.26815929,0.25779676,0.819327912,0.111111111,56.11418119,0,1,1,0,1,0,1,0
0.581535263,0.369632778,0.557957353,0.444444444,68.97286141,0,1,1,0,1,0,1,0
0.240970503,0.509479734,1,1,71.21287651,0,0,1,1,0,0,0,0
0.479255044,0.327917327,0.386255864,0.777777778,62.41914111,0,1,1,1,0,0,1,0
0.117832757,0.423088891,0.331083894,0.222222222,57.79647134,0,0,1,0,1,0,1,0
0.223080103,0.701258562,0.721579692,0.444444444,60.49083108,0,1,1,0,0,0,1,0
0.47725465,0.384621626,0.911794589,0,59.73858479,0,0,1,0,0,0,0,0
0.567522208,0.667138422,1,0,64.56201612,1,0,1,0,0,0,1,0
0.473005825,0.274058629,0.563576583,0.555555556,61.4063771,0,0,1,1,0,0,0,1
0.425169731,0.605960836,0.919097201,0.666666667,73.03220524,0,1,1,0,1,0,1,1
0.394260495,0.788313724,0.660777191,0.555555556,61.32360971,0,1,1,0,0,1,0,1
0.198024113,0.0056711,0.629765815,0.111111111,46.100239,0,1,1,1,0,0,1,0
0.32447041,0.340620949,0.874003858,0.333333333,63.04183413,0,0,1,0,0,0,1,0
0.367671316,0.615414425,0.820513379,0.444444444,62.00214419,1,0,1,0,0,0,0,0
0.620631482,0.459390923,0.305182908,0.444444444,62.79957667,0,1,0,0,0,0,1,0
0.501714159,0.574229175,1,0.111111111,68.4622786,0,0,1,0,0,0,1,0
0.150604419,0.379202963,0.988790285,0.222222222,53.48096556,0,1,1,0,1,0,1,0
0.498458439,0.517317957,0.525036673,1,59.54188249,1,0,1,0,0,0,1,1
0.380264064,0.468864553,0.761200173,0.888888889,65.01622591,0,1,1,0,0,0,1,1
0.331624111,0.733556412,0.783912447,0.111111111,54.8964309,0,1,1,0,0,0,0,0
0.546390493,0.550884169,0.729955044,0.555555556,66.07193779,0,0,0,1,0,0,1,0
0.616277698,0.567520532,0.542437959,0.333333333,70.27377831,0,0,1,1,0,0,1,0
